topic_id,global_index,local_index,is_selected_representative,cluster_size,papers_selected_from_cluster,title,authors,year,journal,doi,abstract,keywords,similarity_to_centroid,similarity_to_cluster_papers,diversity_score,representativeness_score,xai_alignment,symbolic_alignment,subsymbolic_alignment,representative_title,representative_authors,similarity_to_representative,is_similar_to_representative
0,69,24,True,1749,200,{CiwGAN and fiwGAN: Encoding information in acoustic data to model lexical learning with Generative Adversarial Networks},"Begu{\v{s}}, G",2021,Neural Networks,10.1016/j.neunet.2021.03.017,"How can deep neural networks encode information that corresponds to words in human speech into raw acoustic data? This paper proposes two neural network architectures for modeling unsupervised lexical learning from raw acoustic inputs: ciwGAN (Categorical InfoWaveGAN) and fiwGAN (Featural InfoWaveGAN). These combine Deep Convolutional GAN architecture for audio data (WaveGAN; Donahue et al., 2019) with the information theoretic extension of GAN – InfoGAN (Chen et al., 2016) – and propose a new latent space structure that can model featural learning simultaneously with a higher level classification and allows for a very low-dimension vector representation of lexical items. In addition to the Generator and Discriminator networks, the architectures introduce a network that learns to retrieve latent codes from generated audio outputs. Lexical learning is thus modeled as emergent from an architecture that forces a deep neural network to output data such that unique information is retrievable from its acoustic outputs. The networks trained on lexical items from the TIMIT corpus learn to encode unique information corresponding to lexical items in the form of categorical variables in their latent space. By manipulating these variables, the network outputs specific lexical items. The network occasionally outputs innovative lexical items that violate training data, but are linguistically interpretable and highly informative for cognitive modeling and neural network interpretability. Innovative outputs suggest that phonetic and phonological representations learned by the network can be productively recombined and directly paralleled to productivity in human speech: a fiwGAN network trained on suit and dark outputs innovative start, even though it never saw start or even a [st] sequence in the training data. We also argue that setting latent featural codes to values well beyond training range results in almost categorical generation of prototypical lexical items and reveals underlying values of each latent code. Probing deep neural networks trained on well understood dependencies in speech bears implications for latent space interpretability and understanding how deep neural networks learn meaningful representations, as well as potential for unsupervised text-to-speech generation in the GAN framework. {\textcopyright}2021 The Author","Acoustic word embedding,Acoustics,Artificial intelligence,Classification (of information),Deep neural networks,Encoding (symbols),Generative adversarial network,Generative adversarial networks,Human speech,Interpretability,Learn+,Lexical items,Lexical learning,Linguistics,Machine Learning,Natural Language Processing,Network architecture,Network coding,Neural network interpretability,Neural-networks,Speech,Speech Recognition Software,acoustics,article,artificial intelligence,automatic speech recognition,bear,deep neural network,embedding,human,human experiment,learning,machine learning,natural language processing,nonhuman,productivity,speech,theoretical study",0.5627781,0.32302722,0.3760994,0.4227691,0.125,0.08333333333333333,0.2222222222222222,,,,
0,97,39,True,1749,200,{Investigating the understandability of XAI methods for enhanced user experience: When Bayesian network users became detectives},"Butz, R and Schulz, R and Hommersom, A and van Eekelen, M",2022,Artificial Intelligence in Medicine,10.1016/j.artmed.2022.102438 LK - https://unimib.on.worldcat.org/atoztitles/link?sid=EMBASE&sid=EMBASE&issn=18732860&id=doi:10.1016%2Fj.artmed.2022.102438&atitle=Investigating+the+understandability+of+XAI+methods+for+enhanced+user+experience%3A+When+Bayesian+network+users+became+detectives&stitle=Artif.+Intell.+Med.&title=Artificial+Intelligence+in+Medicine&volume=134&issue=&spage=&epage=&aulast=Butz&aufirst=Raphaela&auinit=R.&aufull=Butz+R.&coden=AIMEE&isbn=&pages=-&date=2022&auinit1=R&auinitm=,"In the medical domain, the uptake of an AI tool crucially depends on whether clinicians are confident that they understand the tool. Bayesian networks are popular AI models in the medical domain, yet, explaining predictions from Bayesian networks to physicians and patients is non-trivial. Various explanation methods for Bayesian network inference have appeared in literature, focusing on different aspects of the underlying reasoning. While there has been a lot of technical research, there is little known about the actual user experience of such methods. In this paper, we present results of a study in which four different explanation approaches were evaluated through a survey by questioning a group of human participants on their perceived understanding in order to gain insights about their user experience.","Bayesian network,adult,article,human",0.46947515,0.26947254,0.4147476,0.42842948,0.125,0.08333333333333333,0.1111111111111111,,,,
0,114,46,True,1749,200,{Improving and evaluating complex question answering over knowledge bases by constructing strongly supervised data},"Cao, X and Zhao, Y S and Shen, B",2023,NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-022-07965-0,"Complex question answering (CQA) is widely used in real-world tasks such as search engines and intelligent customer service. With the development of large-scale knowledge bases, CQA over knowledge bases has attracted considerable attention in recent years. However, there are many types of complex questions, and few works deeply focus on the performance analysis of models for different types of questions. Another major challenge is the lack of complete supervised labels due to the expense of manual labelling, decreasing model interpretability and increasing the difficulty of model training. In this paper, we constructed a dataset, named CoSuQue, which includes multiple types of complex questions and complete supervised labels that are easily obtained. Our work provides an in-depth analysis of the model's ability to answer different types of questions, contributing a comprehensive evaluation of the performance of CQA models. Based on the ability of the model to handle different types of questions, the model structure can be improved in a more targeted manner. The different types of complex questions and the complete supervised labels allow the inference process of the model to be investigated. Furthermore, we propose a novel training method that leverages the proposed dataset to improve the performance of the model on other publicly available datasets. Experiments on the Complex WebQuestions and WebQuestionsSP datasets demonstrate the effectiveness of our approach on the CQA task.",,0.56946504,0.32686543,0.34183443,0.39874208,0.125,0.08333333333333333,0.0,,,,
0,117,48,True,1749,200,{A modular architecture for transparent computation in recurrent neural networks},"Carmantini, G S and beim Graben, P and Desroches, M and Rodrigues, S",2017,Neural Networks,10.1016/j.neunet.2016.09.001 LK - https://unimib.on.worldcat.org/atoztitles/link?sid=EMBASE&sid=EMBASE&issn=18792782&id=doi:10.1016%2Fj.neunet.2016.09.001&atitle=A+modular+architecture+for+transparent+computation+in+recurrent+neural+networks&stitle=Neural+Netw.&title=Neural+Networks&volume=85&issue=&spage=85&epage=105&aulast=Carmantini&aufirst=Giovanni+S.&auinit=G.S.&aufull=Carmantini+G.S.&coden=NNETE&isbn=&pages=85-105&date=2017&auinit1=G&auinitm=S,"Computation is classically studied in terms of automata, formal languages and algorithms; yet, the relation between neural dynamics and symbolic representations and operations is still unclear in traditional eliminative connectionism. Therefore, we suggest a unique perspective on this central issue, to which we would like to refer as transparent connectionism, by proposing accounts of how symbolic computation can be implemented in neural substrates. In this study we first introduce a new model of dynamics on a symbolic space, the versatile shift, showing that it supports the real-time simulation of a range of automata. We then show that the G{\""{o}}delization of versatile shifts defines nonlinear dynamical automata, dynamical systems evolving on a vectorial space. Finally, we present a mapping between nonlinear dynamical automata and recurrent artificial neural networks. The mapping defines an architecture characterized by its granular modularity, where data, symbolic operations and their control are not only distinguishable in activation space, but also spatially localizable in the network itself, while maintaining a distributed encoding of symbolic representations. The resulting networks simulate automata in real-time and are programmed directly, in the absence of network training. To discuss the unique characteristics of the architecture and their consequences, we present two examples: (i) the design of a Central Pattern Generator from a finite-state locomotive controller, and (ii) the creation of a network simulating a system of interactive automata that supports the parsing of garden-path sentences as investigated in psycholinguistics experiments.","article,artificial neural network,central pattern generator,linguistics,mathematical model,nonlinear system,priority journal,recurrent neural network,simulation,symbolism",0.5277325,0.3029115,0.37412083,0.41252375,0.125,0.16666666666666666,0.2222222222222222,,,,
0,126,52,True,1749,200,{Pima Indians diabetes mellitus classification based on machine learning (ML) algorithms},"Chang, V and Bailey, J and Xu, Q A and Sun, Z",2023,Neural Computing and Applications,10.1007/s00521-022-07049-z,"This paper proposes an e-diagnosis system based on machine learning (ML) algorithms to be implemented on the Internet of Medical Things (IoMT) environment, particularly for diagnosing diabetes mellitus (type 2 diabetes). However, the ML applications tend to be mistrusted because of their inability to show the internal decision-making process, resulting in slow uptake by end-users within certain healthcare sectors. This research delineates the use of three interpretable supervised ML models: Na{\""{i}}ve Bayes classifier, random forest classifier, and J48 decision tree models to be trained and tested using the Pima Indians diabetes dataset in R programming language. The performance of each algorithm is analyzed to determine the one with the best accuracy, precision, sensitivity, and specificity. An assessment of the decision process is also made to improve the model. It can be concluded that a Na{\""{i}}ve Bayes model works well with a more fine-tuned selection of features for binary classification, while random forest works better with more features. {\textcopyright}2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","Bayesian networks,Classification (of information),Classifiers,Decision trees,Diabetes mellitus,Diabetes mellitus type 2,Diagnose system,Interpretable artificial intelligence,Machine learning,Machine learning algorithms,Machine-learning,On-machines,Pima Indian Diabetes,Random forests,The Internet of Medical Things (IoMT),The internet of medical thing,Type-2 diabetes",0.4252894,0.24411051,0.33026284,0.35401946,0.125,0.08333333333333333,0.1111111111111111,,,,
0,130,54,True,1749,200,{XCS with opponent modelling for concurrent reinforcement learners},"Chen, H and Wang, C and Huang, J and Kong, J and Deng, H",2020,Neurocomputing,10.1016/j.neucom.2020.02.118 LK - https://unimib.on.worldcat.org/atoztitles/link?sid=EMBASE&sid=EMBASE&issn=18728286&id=doi:10.1016%2Fj.neucom.2020.02.118&atitle=XCS+with+opponent+modelling+for+concurrent+reinforcement+learners&stitle=Neurocomputing&title=Neurocomputing&volume=399&issue=&spage=449&epage=466&aulast=Chen&aufirst=Hao&auinit=H.&aufull=Chen+H.&coden=NRCGE&isbn=&pages=449-466&date=2020&auinit1=H&auinitm=,"Reinforcement learning (RL) of optimal policies against an opponent agent also with learning capability is still challenging in Markov games. A variety of algorithms have been proposed for solving this problem such as the traditional Q-learning-based RL (QbRL) algorithms as well as the state-of-the-art neural-network-based RL (NNbRL) algorithms. However, the QbRL approaches have poor generalization capability for complex problems with non-stationary opponents, while the learned policies by NNbRL algorithms are lack of explainability and transparency. In this paper, we propose an algorithm X-OMQ($\lambda$) that integrates eXtended Classifier System (XCS) with opponent modelling for concurrent reinforcement learners in zero-sum Markov Games. The algorithm can learn general, accurate, and interpretable action selection rules and allow policy optimization using the genetic algorithm (GA). Besides, the X-OMQ($\lambda$) agent optimizes the established opponent's model while simultaneously learning to select actions in a goal-directed manner. In addition, we use the eligibility trace mechanism to further speed up the learning process. In the reinforcement component, not only the classifiers in the action set are updated, but other relevant classifiers are also updated in a certain proportion. We demonstrate the performance of the proposed algorithm in the hunter prey problem and two adversarial soccer scenarios where the opponent is allowed to learn with several benchmark QbRL and NNbRL algorithms. The results show that our method has similar learning performance with the NNbRL algorithms while our method requires no prior knowledge of the opponent or the environment. Moreover, the learned action selection rules are also interpretable while having generalization capability.","Q learning,article,artificial neural network,classifier,genetic algorithm,human,reinforcement learning (machine learning),soccer,velocity",0.42959327,0.24658084,0.39676738,0.40497386,0.375,0.16666666666666666,0.2222222222222222,,,,
0,142,58,True,1749,200,{An Interpretable Channelwise Attention Mechanism based on Asymmetric and Skewed Gaussian Distribution},"Chen, C and Li, B",2023,Pattern Recognition,10.1016/j.patcog.2023.109467,"Channelwise attention mechanisms have recently been demonstrated to boost the performance of deep convolutional neural networks (CNNs). The hypothesis on the negative correlation between channelwise responses and their importance levels has been verified. Therefore, according to the shifted means and unbalanced responses that are observed in attention distribution, two empirical hypotheses are proposed in this paper. Then, as an interpretable attention module, bilateral asymmetric skewed Gaussian attention (bi-SGA) is utilized to combine skewed and asymmetric properties into the Gaussian context transformer (GCT), which is the state-of-the-art. Finally, extensive experiments on the different benchmarks validate the rationality of the hypotheses. The proposed bi-SGA improves the overall performance of GCT attention mechanisms with only two extra parameters to be learned. Moreover, our attention mechanism also provides a perspective on analyzing the channelwise importance levels in deep neural networks in an interpretable and logical manner. {\textcopyright}2023 Elsevier Ltd","Asymmetric distribution,Attention mechanisms,Channelwise attention,Convolutional neural network,Convolutional neural networks,Deep neural networks,Gaussian distribution,Gaussians,Interpretable modeling,Mechanism-based,Negative correlation,Performance,Skewness distribution",0.51520944,0.29572344,0.4156772,0.44056025,0.125,0.08333333333333333,0.2222222222222222,,,,
0,156,65,True,1749,200,{Positional normalization-based mixed-image data augmentation and ensemble self-distillation algorithm},"Chen, W and Hu, Y and Peng, M and Zhu, B",2024,Expert Systems with Applications,10.1016/j.eswa.2024.124140,"The prior approach to data augmentation using positional normalization necessitated manual determination of weight parameters for blending two images. However, theoretically, these parameters cannot cater to all samples. We propose a novel data augmentation approach called pnMix (Positional normalization-based data mixing) based on data blending and positional normalization to address these issues. Moreover, we have improved the teacher model of an existing network structure based on self-distillation technology using an ensembling approach called ESKD. Our method enhances performance across multiple datasets and tasks. We outperform previous methods in complex real-world datasets such as imagenet-a and imagenet-o, which we believe are highly meaningful for practical applications. Specifically, we obtain good results on the CIFAR100 and Imagenet image classification datasets, the Pascal VOC and COCO object detection datasets, and the COCO and Cityscapes image segmentation datasets. Furthermore, we analyze the pnMix method's advantages compared to other data augmentation methods through visualization techniques, demonstrating its effectiveness and interpretability. Our source code and pre-trained models are available at https://github.com/sydney72380/pnMix. {\textcopyright}2024 Elsevier Ltd","Classification (of information),Data augmentation,Data ensemble,Data visualization,Distillation,Distillation algorithm,Image data,Image mixing,Image segmentation,Knowledge self-distillation,Mixing,Normalisation,Object detection,Positional normalization,Teacher models,Weight parameters",0.5673877,0.32567304,0.32295477,0.384063,0.125,0.08333333333333333,0.1111111111111111,,,,
0,194,78,True,1749,200,{Drifting explanations in continual learning},"Cossu, A and Spinnato, F and Guidotti, R and Bacciu, D",2024,Neurocomputing,10.1016/j.neucom.2024.127960 LK - https://unimib.on.worldcat.org/atoztitles/link?sid=EMBASE&sid=EMBASE&issn=18728286&id=doi:10.1016%2Fj.neucom.2024.127960&atitle=Drifting+explanations+in+continual+learning&stitle=Neurocomputing&title=Neurocomputing&volume=597&issue=&spage=&epage=&aulast=Cossu&aufirst=Andrea&auinit=A.&aufull=Cossu+A.&coden=NRCGE&isbn=&pages=-&date=2024&auinit1=A&auinitm=,"Continual Learning (CL) trains models on streams of data, with the aim of learning new information without forgetting previous knowledge. However, many of these models lack interpretability, making it difficult to understand or explain how they make decisions. This lack of interpretability becomes even more challenging given the non-stationary nature of the data streams in CL. Furthermore, CL strategies aimed at mitigating forgetting directly impact the learned representations. We study the behavior of different explanation methods in CL and propose CLEX (ContinuaL EXplanations), an evaluation protocol to robustly assess the change of explanations in Class-Incremental scenarios, where forgetting is pronounced. We observed that models with similar predictive accuracy do not generate similar explanations. Replay-based strategies, well-known to be some of the most effective ones in class-incremental scenarios, are able to generate explanations that are aligned to the ones of a model trained offline. On the contrary, naive fine-tuning often results in degenerate explanations that drift from the ones of an offline model. Finally, we discovered that even replay strategies do not always operate at best when applied to fully-trained recurrent models. Instead, randomized recurrent models (leveraging on an untrained recurrent component) clearly reduce the drift of the explanations. This discrepancy between fully-trained and randomized recurrent models, previously known only in the context of their predictive continual performance, is more general, including also continual explanations.","adult,article,female,human,learning,lifelong learning,recurrent neural network",0.57790846,0.33171186,0.25593066,0.33642513,0.125,0.08333333333333333,0.2222222222222222,,,,
0,212,86,True,1749,200,{Image-to-Image Translation With Disentangled Latent Vectors for Face Editing},"Dalva, Y and Pehlivan, H and Hatipoglu, O I and Moran, C and Dundar, A",2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2023.3308102,"We propose an image-to-image translation framework for facial attribute editing with disentangled interpretable latent directions. Facial attribute editing task faces the challenges of targeted attribute editing with controllable strength and disentanglement in the representations of attributes to preserve the other attributes during edits. For this goal, inspired by the latent space factorization works of fixed pretrained GANs, we design the attribute editing by latent space factorization, and for each attribute, we learn a linear direction that is orthogonal to the others. We train these directions with orthogonality constraints and disentanglement losses. To project images to semantically organized latent spaces, we set an encoder-decoder architecture with attention-based skip connections. We extensively compare with previous image translation algorithms and editing with pretrained GAN works. Our extensive experiments show that our method significantly improves over the state-of-the-arts.","Decoding,Faces,Facial features,Generative adversarial networks,Image color analysis,Image reconstruction,Image translation,Task analysis,face attribute editing,generative adversarial net works,latent space manipulation",0.56923515,0.32673347,0.2691201,0.34414887,0.125,0.08333333333333333,0.1111111111111111,,,,
